filename,type,size_estimate,status,notes
The_Silent_Vowels_outline.md,planning,6KB,complete,50-chapter outline with premise and adult cast
The_Silent_Vowels.txt,manuscript,120KB,complete,50 chapter manuscript
The_Silent_Vowels_metadata.json,metadata,3KB,complete,Full metadata; model gpt-5.5
The_Silent_Vowels.png,cover,71KB,complete,Custom metadata-driven cover imagery
The_Silent_Vowels.epub,ebook,231KB,complete,EPUB 3 built and validated
build_epub.py,tool,8KB,complete,EPUB build script copied from The_Petrified_Sea
create_cover.py,tool,11KB,complete,Custom cover generation script
final_report.md,report,1KB,complete,Final production report
progress.md,report,1KB,complete,Session progress log
README.md,documentation,3KB,complete,Per-book README
