Title,The Black Swan,model
Author,Barış Kısır,deepseek-v4-flash
Genre,Ballet Fiction,deepseek-v4-flash
Subgenre,Psychological drama / Performing arts fiction,deepseek-v4-flash
Language,en,deepseek-v4-flash
Chapters,50,deepseek-v4-flash
Word Count,9900,deepseek-v4-flash
TXT,The_Black_Swan/txt/The_Black_Swan.txt,deepseek-v4-flash
EPUB,The_Black_Swan/epub/The_Black_Swan.epub,deepseek-v4-flash
Cover,The_Black_Swan/covers/The_Black_Swan.png,deepseek-v4-flash
Outline,The_Black_Swan/planning/The_Black_Swan_outline.md,deepseek-v4-flash
Metadata,The_Black_Swan/metadata/The_Black_Swan_metadata.json,deepseek-v4-flash
