Title,The Salt Road,model
Author,Barış Kısır,deepseek-v4-flash
Genre,Literary fiction,deepseek-v4-flash
Subgenre,Contemporary / Family drama,deepseek-v4-flash
Language,en,deepseek-v4-flash
Chapters,50,deepseek-v4-flash
Word Count,11586,deepseek-v4-flash
TXT,books/The_Salt_Road/txt/The_Salt_Road.txt,deepseek-v4-flash
EPUB,books/The_Salt_Road/epub/The_Salt_Road.epub,deepseek-v4-flash
Cover,books/The_Salt_Road/covers/The_Salt_Road.png,deepseek-v4-flash
Outline,books/The_Salt_Road/planning/The_Salt_Road_outline.md,deepseek-v4-flash
Metadata,books/The_Salt_Road/metadata/The_Salt_Road_metadata.json,deepseek-v4-flash
