Title,The Photographer's Wife,model
Author,Barış Kısır,deepseek-v4-flash
Genre,Postwar Literary,deepseek-v4-flash
Subgenre,Historical fiction / War memory,deepseek-v4-flash
Language,en,deepseek-v4-flash
Chapters,50,deepseek-v4-flash
Word Count,13880,deepseek-v4-flash
TXT,The_Photographers_Wife/txt/The_Photographers_Wife.txt,deepseek-v4-flash
EPUB,The_Photographers_Wife/epub/The_Photographers_Wife.epub,deepseek-v4-flash
Cover,The_Photographers_Wife/covers/The_Photographers_Wife.png,deepseek-v4-flash
Outline,The_Photographers_Wife/planning/The_Photographers_Wife_outline.md,deepseek-v4-flash
Metadata,The_Photographers_Wife/metadata/The_Photographers_Wife_metadata.json,deepseek-v4-flash
