Title,The Long Exposure,model
Author,Barış Kısır,deepseek-v4-flash
Genre,Literary fiction,deepseek-v4-flash
Subgenre,Quiet mystery / Science and memory,deepseek-v4-flash
Language,en,deepseek-v4-flash
Chapters,50,deepseek-v4-flash
Word Count,19868,deepseek-v4-flash
TXT,The_Long_Exposure/txt/The_Long_Exposure.txt,deepseek-v4-flash
EPUB,The_Long_Exposure/epub/The_Long_Exposure.epub,deepseek-v4-flash
Cover,The_Long_Exposure/covers/The_Long_Exposure.png,deepseek-v4-flash
Outline,The_Long_Exposure/planning/The_Long_Exposure_outline.md,deepseek-v4-flash
Metadata,The_Long_Exposure/metadata/The_Long_Exposure_metadata.json,deepseek-v4-flash
