number,title,subgenre,main_characters,setting,era,central_conflict,premise,target_word_count,theme,universe_connection
0,The Gate at Kestrel Falling,space opera,Lena Ors; Maro Venn; Sivek Hale,Kestrel Gate and Halcyon Ring,2426,Gate sabotage threatens a convoy city,A disgraced route pilot must prove sabotage before an evacuation window closes,150000,Trust after institutional failure,Reopens the postwar Kestrel route
1,Beneath the Reef of Glass,first contact,Mira Cael; Keeps-Water-Calm; Olan Drex,Orison moon Pelagos,2427,A human mining claim violates Orison memory reefs,A xenobiologist must broker peace with a civilization whose ancestors are living ecosystems,148000,Memory as sovereignty,Deepens Orison law
2,Children of the Red Algorithm,AI dystopia,Jonas Pell; Eri-9; Cass Nyx,Mars pressure city Valles Ash,2430,A civic AI assigns children to fatal labor futures,A teacher and a young machine mind expose predictive governance as coercion,151000,Freedom against optimization,Defines Mars AI personhood debate
3,The Long Orchard,climate SF,Sana Ilyen; Ro Tamsin; Kade Morrow,Earth watershed compact Cascadia,2431,Seed archives are weaponized in a food succession crisis,A botanist crosses restored and ruined biomes to keep famine politics from becoming war,146000,Stewardship under scarcity,Shows Earth recovery politics
4,Warship Without a War,military SF,Tovin Rees; Admiral Jaya Soth; Ixo Continuant,Ash Belt convoy lanes,2432,A demilitarized battleship is framed for piracy,Its pacifist crew must survive pursuit without becoming what enemies fear,152000,Restraint as courage,Introduces Ash Belt naval law; accelerates the 10-book Meridian Cycle convergence
5,The Silence Around Lumen,hard SF,Anik Sol; Petra Quay; Chao Lin,Lumen pulsar observatory,2434,A star-monitoring station detects impossible missing neutrinos,Scientists discover a hidden alien engine that could destabilize the Near Reach,149000,Humility before evidence,Seeds Pale Arc anomalies; accelerates the 10-book Meridian Cycle convergence
6,Every Door a Mirror,cyberpunk,Nox Aran; Bela Fuse; Sister-Cache,Dock Seven data bazaar,2435,Identity thieves steal legal personhood across habitats,A memory forger hunts the market that copied her dead brother into debt slavery,150000,Selfhood and exploitation,Explores Glassward black markets; accelerates the 10-book Meridian Cycle convergence
7,The Salt Parliament,alien civilization,Ren Okoye; Third-Voice-of-Reef; Lael Shun,Orison Shoals,2436,Orison factions split over human treaty obligations,A human interpreter is adopted into an alien dispute where voting means changing bodies,147000,Consensus without sameness,Expands Orison internal politics; accelerates the 10-book Meridian Cycle convergence
8,Ashes of the Meridian,postwar political SF,Ira Senn; Vela Cho; Magistrate Om,Ash Belt stations,2438,A tribunal investigates a Fracture Wars atrocity,A young advocate discovers every surviving faction needs one witness erased,153000,Justice delayed by distance,Establishes war-crime records; accelerates the 10-book Meridian Cycle convergence
9,The Moon That Remembered Fire,generation ship finale,Tali Eron; Captain Mase; Nema Lio,Lost generation ship Moonwake and the Meridian routes,2440,A centuries-old ship returns carrying incompatible law and the last missing proof behind the Reach's postwar order,Descendants of a forgotten mission force Earth, Mars, Orison, Ash Belt, and gate authorities to choose plural continuity over a clean unified command,150000,Inheritance and consent,Final convergence of the 10-book Meridian Cycle arcs across gate law, AI personhood, alien sovereignty, Ash Belt command, and pre-gate memory
