Title,The_Silent_Observatory,gpt-5.5
Author,Barış Kısır,gpt-5.5
Language,en,gpt-5.5
Chapters,50,gpt-5.5
Word Count,24256,gpt-5.5
TXT,The_Silent_Observatory/txt/The_Silent_Observatory.txt,gpt-5.5
EPUB,The_Silent_Observatory/epub/The_Silent_Observatory.epub,gpt-5.5
Cover,The_Silent_Observatory/covers/The_Silent_Observatory.png,gpt-5.5
Outline,The_Silent_Observatory/planning/The_Silent_Observatory_outline.md,gpt-5.5
Metadata,The_Silent_Observatory/metadata/The_Silent_Observatory_metadata.json,gpt-5.5
